school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,7,22,31.82,3.57,
ABLE CHARTER,Stockton,San Joaquin,0,0,,,
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,15,40,37.5,3.79,4.11
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,40,136,29.41,3.79,4.16
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,19,52,36.54,3.86,4.16
ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,0,13,0.0,3.79,
ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,3,9,33.33,3.76,
ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,0,8,0.0,,
ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,8,23,34.78,3.96,4.21
ACADEMY ARTS/SCI THOUSAND OAKS,Thousand Oaks,Ventura,0,0,,,
ACADEMY ARTS/SCIENCES OXNARD,Westlake Village,Ventura,0,0,,,
ACADEMY OF CAREERS AND EXPLORA,Helendale,San Bernardino,0,8,0.0,,
ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,11,28,39.29,3.85,4.18
ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,0,12,0.0,3.73,
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,14,38,36.84,3.96,4.34
ACADEMY OF THE REDWOODS,Eureka,Humboldt,4,8,50.0,,
ACADEMY SCIENCE & ENGINEERING,Los Angeles,Los Angeles,0,11,0.0,,
ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,0,6,0.0,3.85,
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,21,74,28.38,3.78,4.22
ADELANTE HIGH SCHOOL,Roseville,Placer,0,0,,,
ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,7,23,30.43,3.72,4.07
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,40,106,37.74,3.96,4.26
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,35,90,38.89,3.99,4.28
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,37,109,33.94,4.0,4.19
AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,7,26,26.92,4.01,4.23
ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,6,20,30.0,3.47,
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,5,12,41.67,4.0,
ALAMEDA HIGH SCHOOL,Alameda,Alameda,53,148,35.81,3.96,4.28
ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,5,28,17.86,3.91,4.17
ALBANY HIGH SCHOOL,Albany,Alameda,38,87,43.68,3.94,4.21
ALBERT EINSTEIN LETTER ART SCI,Agua Dulce,Los Angeles,10,21,47.62,3.94,
ALDER GROVE CHARTER SCHOOL 2,Eureka,Humboldt,0,0,,,
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,25,87,28.74,3.73,4.18
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,35,116,30.17,3.74,4.13
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,5,14,35.71,4.04,4.31
ALISAL HIGH SCHOOL,Salinas,Monterey,11,35,31.43,3.51,
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,48,138,34.78,3.85,4.16
ALLAN F DAILY HIGH SCHOOL,Glendale,Los Angeles,0,0,,,
ALLIANCE CINDY/BILL SIMON TECH,Los Angeles,Los Angeles,3,20,15.0,3.66,
ALLIANCE COLLINS FAMILY COLRDY,Huntington Park,Los Angeles,13,38,34.21,3.83,4.09
ALLIANCE DR OLGA MOHAN HIGH SC,Los Angeles,Los Angeles,3,16,18.75,3.56,
ALLIANCE GERTZ-RESSLER HIGH SC,Los Angeles,Los Angeles,0,0,,3.68,
ALLIANCE JUDY BURTON TECH ACAD,Los Angeles,Los Angeles,6,10,60.0,3.58,
ALLIANCE LEICHTMAN-LEVINE ESHS,Los Angeles,Los Angeles,8,21,38.1,3.38,
ALLIANCE M&E STERN MATH SCI SCH,Los Angeles,Los Angeles,5,13,38.46,3.88,4.17
ALLIANCE MORGAN MCKINZIE HS,Los Angeles,Los Angeles,0,14,0.0,3.67,
ALLIANCE OUCHI-O'DONOVAN 6-12,Los Angeles,Los Angeles,0,9,0.0,3.67,
ALLIANCE PATTI & PETER ACADEMY,Los Angeles,Los Angeles,8,18,44.44,3.78,4.18
ALLIANCE PIERA BARBAGLIA HSA,Los Angeles,Los Angeles,0,11,0.0,3.32,
ALLIANCE RENEE & MEYER LUSKIN,Los Angeles,Los Angeles,6,10,60.0,3.69,
ALLIANCE SMIDT TECHNOLOGY HIGH,Los Angeles,Los Angeles,9,23,39.13,3.87,4.2
ALLIANCE TED K TAJIMA HIGH SCH,Los Angeles,Los Angeles,0,7,0.0,,
